stdDevYAbsGrad,MeanGradX,MeanGradY
24.01071959,5.7696,6.6864
26.83103907,28.6683,22.3935
24.63554285,16.5179,15.4029
30.11643318,18.5229,21.1515
17.67997298,10.43,9.7756
33.08064606,23.9773,27.3875
33.08030906,26.3301,33.7485
27.51116183,29.1382,28.2884
25.12812368,16.7071,21.1005
23.57849188,29.007,17.7008
16.34040606,22.2401,12.1563
34.87572098,31.4384,25.5262
28.44356823,18.6446,21.9432
60.93591768,24.8843,29.0551
24.44979684,10.8278,19.2384
27.21984165,10.7248,23.0492
15.24252555,17.4073,13.2309
15.8170941,14.4787,17.0153
18.4465268,21.3496,17.993
17.21673676,8.8969,15.1711
28.94314744,23.184,34.504
23.49997148,24.9877,24.4155
16.63806272,13.159,12.4378
21.83990085,16.3143,18.8509
13.5126007,16.2157,15.8329
14.09052667,11.5425,11.4303
26.7173567,20.8032,21.9348
29.94636314,18.9118,20.3926
38.96799882,28.1021,30.4113
22.49793465,18.1799,15.3371
27.34042704,15.0385,16.3411
17.58976202,22.0593,16.4835
24.73050965,19.8257,19.5943
25.56309241,14.0095,14.7625
22.9559225,14.5494,17.3332
28.71490204,31.4242,23.349
20.92517718,29.0421,15.7253
15.92144531,17.7914,12.8382
31.80956545,24.8091,22.9081
11.47942717,5.5902,5.2572
29.69527297,22.4098,22.8452
17.0230138,12.7381,12.1261
17.94903964,15.8698,14.0598
28.9318257,19.9163,18.0237
27.41691864,7.5787,11.8165
25.95019312,18.6935,17.7061
18.63907819,16.9464,11.6696
28.82881683,19.9514,19.4004
32.42486984,21.2386,20.7098
21.48612049,12.7193,12.8353
31.99136255,17.4679,19.2079
27.43670781,21.7748,22.9706
21.2577209,12.8369,13.6735
18.58291222,16.194,16.5312
25.23307156,10.6303,15.7313
20.75020089,11.4437,11.2889
24.17229714,26.1628,22.5652
20.55607091,14.8054,19.7378
17.64148366,12.4092,14.4038
12.74528728,10.9249,10.8485
14.32767526,14.7908,14.6724
19.93473632,17.9222,17.5298
77.14467141,16.7624,27.8106
46.37142926,51.3646,53.9692
17.7524905,18.014,18.3064
32.29880561,24.3493,27.7675
27.1389998,32.7133,27.2753
15.55618115,16.6385,18.4849
21.84647429,22.9468,22.481
41.15880132,19.0906,21.5086
26.36876325,14.0428,16.1978
11.40650025,23.4701,11.2601
29.88692747,19.665,20.7262
22.34126163,16.0809,16.2667
13.84671893,13.395,17.6574
16.57115615,38.7889,13.9463
12.62582686,20.93,13.736
44.47049972,17.8011,17.7183
22.31216182,18.2836,20.0252
9.555024328,18.6683,10.9753
14.9110649,35.9191,16.6713
12.25192343,18.4421,13.8085
9.726028064,18.3557,10.7553
13.05569782,15.4253,15.3729
19.20726881,11.4862,22.365
12.84850773,12.31,17.507
12.91082637,19.6456,11.8016
86.28630797,34.77,39.3694
49.04475934,32.4351,27.5241
30.24210163,32.4651,32.8333
13.23324057,14.8272,11.3898
40.50106376,25.5989,23.1701
11.74315624,27.4946,12.7988
15.75172197,15.4619,15.1567
12.52030175,12.0556,10.662
86.39917469,19.917,32.5722
13.58226576,31.7904,14.2736
25.6942633,14.4672,17.6812
21.35789945,13.963,16.2682
32.52983851,16.5129,24.0975
16.70600491,7.7464,7.26
29.74379904,19.142,21.3816
18.47055988,23.784,20.7458
25.78645659,16.5074,18.8392
20.81710005,17.1838,18.9388
16.42106686,16.3082,17.8518
12.65908009,14.2385,13.0489
