stdDevYAbsGrad,MeanGradX,MeanGradY
25.16030897,10.4356,11.4708
23.40660037,7.3516,7.5382
14.42029475,10.3362,14.1044
14.74115247,5.128,4.832
12.1592233,4.3016,4.3192
12.76711237,3.4718,3.6358
15.77328767,5.9696,5.914
12.90540844,3.7556,4.3536
18.04670162,6.4956,7.1008
17.64263631,4.9266,6.372
12.69578347,5.2114,5.3514
9.859728552,4.6249,3.2483
29.45423517,10.7261,12.5493
9.061646365,4.255,5.1754
11.83724899,2.3126,3.2194
34.20613535,6.3156,10.4408
26.50295219,4.7618,6.5112
30.96707655,5.2758,7.6886
6.029646146,1.1478,1.2144
25.91042437,10.9604,9.8554
17.59885117,8.4308,8.8912
24.47547296,9.4196,10.1656
15.13469718,3.603,4.3546
24.42635001,8.4496,8.525
11.38413699,3.8686,2.905
15.60749942,5.0224,5.7986
27.55672018,19.5332,23.6964
19.95130249,4.5782,4.477
12.91112376,3.6596,3.3018
20.92243683,4.7456,5.9236
18.30804348,4.7338,4.4372
13.94497928,4.4348,4.4536
11.54624178,3.151,3.1578
19.82596782,5.785,6.1
14.42983592,12.3268,9.3244
8.778333974,2.2754,2.5292
9.44799021,2.1224,2.691
5.249107318,2.2128,1.6894
24.97357857,10.3224,12.0646
22.66202001,12.015,11.057
26.34729372,6.6718,8.1188
13.11881348,5.6778,4.6036
23.13365151,14.7168,24.1702
20.92634878,10.191,10.1474
27.57122548,11.6906,12.5112
38.29520491,22.5834,24.841
17.21661628,15.5066,18.818
14.2786659,12.6418,13.05
28.40736285,7.6714,9.1172
27.70823204,12.2904,11.9912
15.62831026,6.124,5.2062
21.42536497,8.0624,9.144
13.3295925,3.03,3.0128
3.610141133,1.554,1.309
30.65225528,18.702,21.1762
8.171249853,2.956,2.9672
29.17741089,15.3648,16.9376
21.92123015,12.8704,11.2308
10.61001545,3.3442,4.0904
19.79199172,11.3643,9.1287
11.97154422,8.8142,7.0336
18.56025279,11.2402,8.3194
17.3293126,6.0402,5.6978
19.59350651,4.474,4.9826
9.784877538,3.9728,3.0466
27.01964457,9.5232,10.0144
26.08866276,13.1778,12.2334
23.31453989,12.0939,11.6563
17.83685236,7.972,7.5714
13.17136524,15.7386,14.4458
5.833819318,3.084,3.0596
9.235521477,3.4778,3.2952
40.25000518,26.184,25.5518
32.64080596,18.1884,20.1216
16.58730041,5.2538,4.4136
12.76006202,4.6099,5.7223
10.22276499,3.6986,4.126
15.4866166,10.3771,11.3225
27.69979217,22.876,23.9442
6.675627503,3.216,3.2912
6.630149196,5.0862,3.6858
7.135398492,2.8576,2.5094
9.978144316,3.8872,4.606
6.86833597,2.6936,3.819
4.106129545,3.4234,2.7504
21.34278445,6.0226,6.7572
24.65686405,5.9594,6.0752
18.54047895,11.8985,12.5429
4.942578016,3.4234,3.8984
23.37975131,10.9638,10.0378
12.56231404,6.7184,6.3686
19.7871788,10.151,11.1748
18.80556794,15.5172,15.0884
19.55125661,19.1736,21.4022
17.59084826,7.7978,7.8542
15.69178294,13.5844,10.8104
20.40311017,13.7599,15.7711
12.08112902,4.296,4.6858
13.08760482,7.754,6.6
21.11238268,6.6608,8.7924
18.666476,10.1948,9.0942
18.13826526,9.4674,8.0688
18.44001887,12.3846,12.048
21.27820195,13.1664,16.1514
18.89058076,12.3729,10.4043
22.6708304,13.3222,15.907
25.38860022,20.7978,27.1148
17.97586074,19.5898,20.8726
17.53098814,21.1029,19.7183
18.46927544,25.8881,20.9809
16.17618847,16.3134,14.6238
45.68619607,25.8038,31.6808
22.73654558,15.2585,14.7711
17.49298835,18.5172,19.4438
12.68859166,25.8178,13.5724
25.24924604,14.7414,16.8962
18.33691225,11.8908,9.693
18.94805134,13.0493,9.9505
14.64233093,18.6999,16.5441
24.45416479,16.3806,18.5206
10.53295611,9.8186,12.6834
9.951566984,11.8462,11.8384
25.48177822,11.5552,12.1816
18.1852376,7.5562,7.5688
35.38658927,10.2836,13.47
31.89669952,19.0748,24.4002
25.86143135,19.737,21.3906
23.78106784,25.7303,25.0807
16.03121666,5.9289,5.8565
9.175721179,3.821,4.8078
29.29417202,13.2272,13.8976
19.87643296,16.9286,16.6778
22.54258013,10.924,9.659
21.3037164,18.9228,18.9234
16.49677132,5.9934,7.244
21.21702665,15.3977,19.8003
38.63091595,18.6362,24.8964
17.20493531,7.7032,13.2064
18.17713643,7.3808,6.7152
21.41557813,14.3319,25.8927
24.19944066,10.5384,13.9428
15.06883511,4.6861,3.8779
17.01082452,3.3872,3.407
22.85852541,8.1666,9.696
10.17326134,7.4272,6.9876
22.11366676,12.6654,12.3668
20.47127058,7.0404,9.209
11.73901775,5.3495,6.3215
27.69084277,16.9731,16.2633
31.00572677,17.2507,19.2311
14.23220956,6.5812,5.0348
13.2669771,3.9702,3.9374
25.08418433,6.186,7.1694
37.22753311,17.3416,20.6232
29.67663733,11.7538,10.2764
40.11047558,10.8232,13.9692
20.35775245,6.8856,8.0756
13.53346169,4.2544,5.7074
24.70425694,11.9836,13.233
5.486450925,2.9599,3.2525
17.36084763,17.6926,15.6788
23.62277872,10.4628,12.5976
7.783633678,4.9938,4.2974
19.56661826,10.4558,9.4114
10.98881874,11.244,8.7826
10.45777168,6.576,7.7466
20.71182116,15.3026,15.2794
7.506875345,4.1894,3.8516
24.89415626,4.2344,4.928
18.69463224,2.0328,2.0112
11.94182816,0.9888,0.9496
20.24643741,9.9923,9.5915
25.34373715,6.2878,7.0948
11.92924977,1.6426,1.76
19.97256971,2.2276,2.3044
25.0736874,3.7674,4
21.23165659,3.6547,3.2471
15.0363468,2.7596,3.1252
12.85531572,3.3306,3.5076
7.9776437,1.313,1.599
16.79650461,1.2514,1.3536
13.81841933,1.0063,1.6723
20.24920859,4.6346,4.1056
31.02000799,10.329,13.752
9.44010376,16.651,10.171
18.19727826,9.8954,10.0898
12.92434103,2.5068,2.103
31.88464858,17.5453,12.2211
20.49268812,2.6398,3.8624
16.11621019,9.2004,8.837
21.5082272,2.2558,2.6984
18.90336742,9.302,10.15
36.25613791,7.0684,9.108
24.08095011,4.4112,3.8014
23.64594058,3.6636,3.1868
19.27097187,2.2048,1.9844
20.20634551,1.773,1.951
27.40191486,4.0418,3.5668
18.59396434,4.2869,5.1749
22.24107784,7.9236,9.1306
15.82847987,7.1054,8.385
21.58994247,5.4476,5.972
28.60951667,6.5438,6.266
22.33131004,3.178,3.7698
19.97994517,4.0415,4.3217
9.642158928,2.4555,2.4761
19.71110831,4.8948,4.253
5.409178777,1.3954,1.5136
30.34623823,12.4628,11.455
18.50575058,3.2562,3.3666
18.84382382,2.8464,2.848
18.20516015,7.1358,8.012
19.47916756,3.2326,2.9944
14.49196152,6.1708,5.6818
6.525386119,0.78,0.956
24.07933458,3.4138,3.9932
26.862239,24.9501,17.0147
16.62406313,16.2066,18.1254
26.48398812,13.0257,13.2927
27.12691259,24.3024,30.9854
15.27799836,5.7733,6.3897
16.38168903,8.8707,5.8229
28.49053941,12.1098,13.458
17.63147539,11.5552,11.0166
28.25776381,6.0038,7.7408
31.01665926,15.0994,20.7808
25.81323864,3.8152,3.7848
20.17074944,9.9373,8.9689
21.79640752,7.8128,8.4382
29.67992291,15.0242,14.976
21.34445749,9.8994,8.0116
9.220872061,5.1052,6.2062
19.14800752,6.6949,7.8053
18.40544558,2.4912,3.5646
16.69440544,9.088,8.0052
12.8674847,2.7054,2.6088
12.70978387,16.8386,14.1414
11.15786438,1.3494,1.5516
24.2024943,5.9501,7.0563
37.67740537,28.7451,37.4771
26.99063746,3.8706,4.0842
9.880801231,17.705,9.1448
14.30220492,3.0126,2.9538
15.11706502,17.7203,21.4023
7.78042816,1.6008,6.3042
18.03649384,11.2816,10.2114
5.806393714,0.8942,1.7698
3.181912658,0.5498,1.0428
5.509754106,8.9269,8.0437
25.41101805,4.8118,6.5276
19.13961057,2.5756,4.2052
28.13760602,20.4781,10.4561
35.08300249,18.7364,25.9694
17.55838775,9.9994,8.5634
30.93220144,13.0768,12.2086
17.36224958,4.2742,5.6658
11.9888047,7.9084,5.0276
10.02198805,12.2716,12.1666
22.19945495,5.1084,6.6
18.70594781,9.3858,21.9892
10.18197972,5.83,4.567
14.69434426,12.579,13.5474
16.96629213,6.3828,7.7556
15.967017,7.3928,6.9604
5.267268043,1.3862,1.8856
15.64128503,15.5212,15.5016
19.6457788,6.4046,7.1256
17.92134856,7.3746,6.9742
18.96586475,3.2268,3.1462
25.09324513,5.526,6.207
25.11597695,5.6138,5.0224
15.86049522,9.8504,6.5556
22.31604425,5.4864,5.487
16.87540397,16.0474,16.4422
26.30974125,26.0067,20.5227
13.8111956,8.004,7.074
16.37382147,1.8092,1.7416
18.08631171,2.0088,2.0808
5.371163881,10.2444,5.5316
21.73561363,4.3498,3.61
29.85310256,10.6537,13.4069
19.40504661,23.43,10.7932
26.16256484,3.7554,3.851
28.60031576,17.8615,19.1471
24.20462944,5.4418,6.6942
14.783916,3.7984,3.6234
14.6317533,11.0016,10.0244
20.09638848,2.1011,2.5705
20.74758368,2.2494,2.6318
13.43781584,8.7012,6.4612
22.86625794,3.3854,3.6202
23.07834774,6.6246,6.2758
6.782568056,0.986,1.2584
28.79020469,3.4614,4.4586
25.0079956,8.6522,14.834
20.77766086,4.4964,4.597
16.70761401,2.8704,3.1632
13.01944023,2.2558,2.424
6.069365581,2.4196,2.4988
9.575659307,1.8716,1.7378
25.13015887,5.5784,10.0756
16.20178027,12.966,7.946
18.54047525,2.8222,3.1542
18.95271842,3.1096,3.4706
21.58432996,8.1086,11.7496
13.34017237,12.5001,14.8739
12.21125453,4.376,5.5326
20.24361952,15.4912,16.6878
18.94597246,2.6286,2.9144
26.1651845,6.4264,6.9004
25.05596264,3.6598,3.644
17.7801422,21.3124,19.7656
24.54569288,4.0932,4.969
17.78376986,2.348,2.5658
7.53622579,1.1186,1.0922
27.38896584,8.3215,11.8679
23.7978108,6.4058,7.551
24.08294115,5.5392,6.5524
25.764262,4.7636,7.1844
34.6605671,14.0665,17.4543
23.27119746,10.3416,9.063
31.72916136,7.1142,11.7456
18.34978177,7.1762,7.1622
23.00288347,4.4968,4.6198
34.5916619,8.9028,11.8526
27.05839493,8.3359,7.1731
29.16829748,5.2365,5.3665
23.77823697,4.8072,6.5738
11.11805467,2.2807,2.3605
7.360543686,1.1632,1.8108
11.20728473,25.1008,11.737
23.83555391,10.8567,9.1499
8.959903258,1.9737,2.5231
10.88842963,4.7823,5.4005
13.14354814,5.6751,6.4815
22.98132257,8.83,8.0722
31.08550404,8.0134,7.3374
18.63999334,2.134,2.7906
34.68421658,3.5206,6.4004
16.69529263,17.7142,20.6304
14.26428024,8.4846,20.6446
15.51415393,9.4055,21.9887
17.19897293,11.9897,21.3945
23.00481086,4.3108,10.6846
19.99185286,9.352,13.0148
13.66569618,9.664,8.8472
21.44555238,10.384,15.4482
35.82541915,5.43,19.0338
27.96981698,4.7162,11.8714
35.52522191,3.7356,15.6594
19.85018085,6.8096,8.6006
22.05882439,16.499,13.5216
21.91613358,7.6238,8.283
19.6934983,24.8326,17.4478
18.61869804,23.6702,18.9482
19.03880183,5.4426,4.805
4.260168818,3.13,3.1642
12.44776523,14.6748,8.8078
16.61615705,10.3108,9.9478
22.62342851,2.804,3.5984
10.02591996,1.1656,1.573
17.67796777,3.0379,3.0419
8.068048339,6.5444,4.086
19.37889965,5.7078,9.2094
11.41543215,10.0218,9.9122
15.51098273,14.4264,10.2926
25.52583733,15.031,11.0378
16.49419288,16.5735,15.1261
17.18466856,3.5363,7.6121
19.28910498,10.0184,10.2836
20.03788979,8.5142,9.7222
19.41757162,10.775,10.4894
23.54432702,5.6206,6.9136
17.01290874,10.3914,8.2806
15.01868776,11.2502,11.0286
18.83763997,10.2625,18.5179
31.72837637,16.702,23.3722
23.82312794,13.5298,16.3744
11.31197815,9.4118,12.1468
24.5223472,14.8612,12.6972
17.35781654,17.2108,14.2478
13.59649772,13.7078,9.7342
15.97538271,8.8502,11.5418
18.99187102,9.8694,16.3718
21.62685797,8.6818,15.8868
14.18600471,11.4564,15.0638
15.92711066,12.2842,13.5186
13.68846138,10.096,6.895
15.86676096,15.0488,12.5608
12.70786565,10.2376,8.3916
